author,posted_on,comment,text
"Maria of Hollywood, FL",3/14/2006,,I have no cable service or intermitent service. I'm on my third set of cable boxes. I have requested to speak with a supervisor @ Comcast never returns my call or I'm left waiting on hold. They have sent to my home 2 repair techs and deliver old cable boxes that don't work. Thier solutions is to keep sending repair techs. I have to keep taking time off work with no resolution.
"Rey of San Jose, CA",3/19/2006,,I subscribed to their sevice to watch HBO fights and on a live fight with James Toney vs. Hasim Rachman me and my guests got to see the great introduction from Michael Buffer and then blank a screen. My brother tried to call this so called cable provider with promises that everything will be fixed in 3-5 minutes. Unfourtunatly the blank screen still appeared and silence and disapointment filled the air.
"Deborah of Tacoma, WA",4/4/2006,,"For the past 6 months I, the customer, have had to call each month and ask for a bill.  Numerous calls to Comcast have not fixed the problem and if I for get to call and ask for my bill (as I did in March) I am caught of guard with a $120.00 bill. I can not understand why this problem was not fixed after the first call instead of getting the company run around and the latest is ""oh we have a problem in the mail room"". At this point I will be transferring my services to another company.  All because a customer can not recieve a bill with out calling and having one generated.  Do you see a probelm here?"
"Marc of Beaverton, OR",5/26/2006,,"We got a cable modem. It can only handle one computer at a time. When I use my laptop it works fine but when I plug the cable into my desktop I have to reset the cable modem. Then when I want to switch back to my laptop, I have to reset the modem again. I called tech support and they think this is normal. It's not. With DSL you can simply plug in the cable and it works!I have to either crawl under the table to the cable modem every time I switch, or buy a router. "
"Sarwat of Washington, DC",6/15/2006,,"This is the second time I'm having trouble with Comcast. The first time was when I was getting my cable and internet installed. Due to the comcast's dispatcher's fault, I could not get hold of the technician even though he was in my building. The technician ended up leaving and I had to reschedule for an appointment later that day. Customer service was atrocious with one customer  service representative hanging up on me because I demanded to speak to her supervisor. I called back and described the situation to the supervisor who was completely unsympathetic to the fact that the dispatcher had messed up, that  one of his employees had been rude and the fact that I had taken a whole day off from work. He said I could either take the measly $20 inconvenience fee or nothing at all.   Three weeks later, the cable went out and I scheduled another appointment with comcast in the late afternoon. 1-5pm. at 2 08pm a Comcast dispatcher called me to confirm if I was still available for the appointment and I confirmed that I was. I called back Comcast around 3 to make sure if the technician was still on his way. The customer service representative confirmed that the technician had two more appointments ahead of me and would be here shortly. At 4 31, I spoke to another customer service representative who told me that the technician would be an hour late. Mind you, Comcast did not have the courtesy to call me and notify me of this, I had to call them myself. I called back at 5 31 to find out what the status was, and I was told to call back after 6, because there is a grace period of an hour for the technician to show up late. Again I was offered a measly amount of $20 for my 'inconvenience.'"
"Roman of Decatur, GA",6/21/2006,,"The turned off our cable, saying that the account is in abuse status. They wouldn't give a reason or send out a technician. They give us a number to a voice mailbox which is full and we can't do anything to get our service on. The cable is on the floor in accross the front door and people are tripping on it."
"Samantha of Chatanooga, TN",7/8/2006,,"Unresolved issues for over a month - constant disconnects, severe packetloss. After 3 tech visits in one week (not the usual contracted help for once) the problem still hasn't been resolved. Cable tv and internet cuts in and out randomly, house has been rewired, connectors have been reconnected, splitters have been replaced, ALL by comcast, still the problem cannot be found. Not to mention the ""your modem may be the problem"" excuse has come up once. My modem doesn't connect to my tv nor does it have anything to do with the problems I am having with the cable that runs into my living room and transmits through my tv. I have been told I will be credited fo the time that I have been having the problem once the issue is fixed. What about the days of work I have missed to make their 8-12. 12-7 appts?!!"
"M. of Oak Park, IL",7/21/2006,,"In 2003 I took advantage of a Comcast promotional offer of internet and cable.  The offer was that if you signed up for both you got basic cable and then if you added internet WITH CABLE you got an additional 60 channels (in essence the standard cable).  Before accepting this I checked with their rep and was assured that as long as I didn't change the service the price would remain the same.  Then early this year after four servicemen put in the wrong cable the last serviceman again put in the wrong service and downgraded my service.  Despite the fact that the bill has 2 lines; basic cable and Internet with cabel - Comcast refused to return my service to that contracted and kept telling me I only had basic cable (8.99) and had been getting standard cable for the basic price.  When I pointed out that I had internet service WITH cable and that this entitled me to the service I had been receiving for the past three years - they would completely ignore that aspect of the bill.  No matter how many times I pointed out the second line of the bill - it was ignored.  The next month my bill went from $54.00/mo to $22/mo.  Still they refused to acknowledge their mistake.  This month I finally figured out why.  It was so they could change the service and my bill to $45.00 for internet and $36.00 for standard cable.  They are such a devious, unscrupulous company that cannot be trusted.I'm paying more for less.  "
"Jennifer of Arlington, VA",7/25/2006,,"My cable went out 6 nights ago, and there is no solution in sight as far as getting it back. I have had to call them 3 times so far just to describe my issue and each time was on hold for 40 minutes.  Nobody seemed to know why I had no cable, no one is in any hurry to fix it and certainly, no one cares. Fine.  So the last answer I got (they have all been different) was that my cable will be back in, oh, a month or so. They really have no clue what they are doing.In the meantime, I got on the phone with DirectTV and after all was said and done, my DirectTV pacakge will be $20 cheaper per month than my Comcast bill. They will be here in a few more days, at which point I will cancel my service with Comcast with great glee.  "
"Bernard of Lancaster, PA",3/3/2007,,"Comcast Cable has been charging me for a cable modem which I have not used for over 19 months now. Each time I attempt to correct the situation, they do nothing about it. They have told me repeatedly that I will receive a new bill reflecting a credit but I have yet to receive and every time I call they again do nothing about this. "
"Mukesh of Modesto, CA",3/8/2007,,"I have had many problems in the past with Pay-Per-View charges on my billing statement that was not ordered by me or anyone in my house. Few months ago there was many PPV movies charged to me and I had to go through weeks of phone calls to have it cleared. They were nice enough to give me free HBO for a year for the trouble I had to go through. Now the charges have started to appear on my bill again and I called several times to complain. They have denied giving me credit this time because they said the charges are mine and they wont do it again. Money is not the issue here, I'd pay the charges anytime but the charges are not mine."
"Marilyn of Sarasota, FL",3/8/2007,,I want to lodge a complaint with comcast. I am very upset that the Simpsons show is on Limited cable and on at 6:30 and 7:00. It is terrible that children can watch this show. Not to mention South park! Get these shows off the limited TV stations. They are horrible for children.
"Douglas of Denver, CO",3/13/2007,,"I cancelled my service with Comcast on 1/11/2007 @ 1503 MST. I was informed that I owed them a Cable Modem which was placed on my work order from 9/18/2003. I don't have any proof that I bought & paid for the surfboard myself., but I did.What bothers me is that Comcast Cable sent me to a collection agency even before I received my final bill.  "
"Steven of Wayne, PA",4/11/2007,,"On or about January 27th, I contacted Comcast to cancel service, I was moving and lucky me, Verizon FIOS was in my new area.  I asked the Comcast operator where I could return my equipment to, and how long I had since I was leaving for vacation.  The operator told me one month was the limit.  I returned the equipment about two weeks after cancelling service; and two weeks after returning the equipment I received a bill for $413 from Comcast for equipment that was not returned, an HD Receiver and Cable Modem.  I called to rectify the issue and tell them in fact I did return the equipment.  I was told since I was no longer a current customer, an investigation what happened to the equipment would be started, and thet my final bill would recalculated once the investigation was completed. During the next two weeks, I repeatedly called Comcast as a followup, but was told they were still investigating.  On April 4th I received a collection letter from Eastern Account Systems of Connecticut on behalf of Comcast. I was in debt to comcast and they were retained to collect the debt.  I called the collection agency but they closed at 5 PM Daily. I called comcast, complained, and paid via credit card, and also paid the $4.95 surcharge to have an operator process my card.  The operator stated she could not see any investigation conducted on my behalf.  Was it all a lie by Comcast?  I called the collection agency the next day to inform them the debt was paid, and how poorly Comcast has handled this issue. ...  I've never had a late payment in my life outside of the nonsense from Comcast.  As a Dept of Defense employee, I need to file any collection/debt issues for review to ensure I am not a security risk.  It is a lot of paperwork that Comcast and Eastern Account System of CT have caused me, which could have been avoided had Comcast shown me some courtesy/competence and resolved the issue.  I will go witout cable before going back to Comcast."
"Ren of Savannah, GA",4/13/2007,,"Talked to 6 reps, with each giving different answers about cable cards for the newer  TV.  Finally I picked up a card to find out what I would receive.I found my TV picked up less channels and did not pick up what they said it would pick up for digital starter.I would need to purchase two /packages up just to receive the channels they have taken.  Not to mention they say we get 77 channels but truth is we get 68 and losing channels as time goes by, but they will not reduce the price.They bait you to the next two higher priced tiers at $77.00 form $50.00.I can get more if I take their box and remote at no cost, but I bought this TV with cable card ability so I would not have to get box and another remote. Their cable card does not have two way communication like their box does so I can not receive on demand and other channels?  So now I am losing channels and my rate is not going down.This amounts to a rate increase and if I buy another package this amounts to another rate increase.I agreed to pay X and now they fail to deliver."
"Linda of Decatur, GA",5/28/2007,,"I am without services on the internet for 24 hours. I would love to be sending this message from my home service, for which I pay a handsome price.  Instead I am at local wireless friendy cafe. Apparently I need to be on their server rather than Comcast.Unable to do do college class work, etc."
"Milton of Byram, MS",6/9/2007,,"Recently Comcast merged with Road Runner in our area.  I have had Road Runner for several years and didn't mind paying for decent service, but since the merger and rate increase I am looking for a different carrier.  Daily, the box has to be unpluged and wait for 15 to 30 minutes then started over again.  They admit to knowing that they have this problem but had no second thoughts about that rate increase.Lets see - worse service, higher prices.  What a way to keep customers!"
"Reginald of Arlington, VA",3/3/2008,,"Bad cable installation services, it is not working properly. I contacted Arlington county cable administration and nothing has been done . "
"Victor of Homestead, FL",3/5/2008,,"Around half a year ago I started having a problem; it's been nearly 2 years since I've been with Comcast with the Internet and cable combo. I got Comcast for it's High Speed Internet service and it was all great until a few months ago. Whenever I tried downloading stuff like my friend's Flash videos he makes to test, while using Bit torrent to download it,  the service started to either go from 168Kbps to nearly 5 Kbps or just completely disconnect and appear as if it never existed.  It does this also with live web cam chats slowing or freezing on me, websites not loading and everything slowing down except for a few important websites. Then I saw the report about them using some programs to scram the connections and control what they want and don't want for us to see. And at the moment, I'm just waiting to see what happens to the problem that the FCC is investigating. I also have had several times where the entire cable connection is gone due to an outage; however, it has only happened to me and a few on our neighborhood--along with some channels being randomly either censored or taken out. I had to quit flash video and gaming testing. I've lost connection to several sites and games I've paid for."
"Carmela of Beachwood, NJ",3/6/2008,,"I have had Comcast Cable, Internet and phone services for approx. 6 months.  I transferred to COMCAST from  Verizon because it sounded like a good  deal and also because the rep was a great salesman.  I had NO problems up to now!  In the past month, I have received numerous calls and have  placed numerous calls, and people cannot hear us, but we can hear them. I  called customer service, and they opened a ticket for a tech to come and  verify the installation. The tech said that everything was done  properly, but I still have the same problem.  I called customer service again with the same problem, and again they  sent somebody to inspect our lines. The tech informed us that he has  known about this problem, and it's a problem Comcast has in the area.    I called customer service again to complain.  Tech has been  here 3 times, and I still have the problem.  I run a business from my  home due to my disability (MS) and am working for a psychologist. I now have to call patients back  using my cell phone!  This is not the kind of service I expected. A  supervisor named Lorna was supposed to call me back yesterday, 3-5-08, but guess she is too busy.  Just wish someone would tell me what the problem is and if it is going to continue.   Do I contact the FCC?  PLEASE someone help me out here!  I've lost minutes used on my cell phone.  In case of an fire/emergency and cell phone not available, I would have no way to call for help."
"Tara of Forked River, NJ",3/9/2008,,"Since November 07' I have had nothing but problems with my service. After about 20 phone calls in december with no luck I decided to take my box to manahawkin to exchange. I was given a new one.two weeks later my box stopped working so they sent someone out to 'fix the lines' they told me there was nothing wrong with my lines it was the box so they replaced. two wekks later my box was not working again, so they sent some one out again to 'fix the lines. they replaced to box again and checked the signals and said there was nothing wrong with lines it was the 'new box and replaced again. the again a week later someone had to come again to 'replace the box! this was in january 08, numerous amounts of phone calls and I asked them if I could be credited at least something and they said no but maybe 40.00 that is a joke considering my bill is about 100.00 a month!! now here it is march 8 and I awoke to noe cable and no internet again! I called for three hours and finally got thru and they said someone would be out from 12 to 4 today. they never came. so at 5 I called and they said no one can come until tuesday the 11th and that no one should of told me that. so when I asked for a supervisor she (camille hung up on me) so once again I called back to get a supervisor and was told now there were outages in my area,even though all my neighbors had service but me! "
"Jeremy of Pleasanton, CA",3/11/2008,,"I recently moved apartments in the same complex, approximately 2 buildings down from where I currently live.  I called Comcast to transfer service, and things were going fine until I was hit the the transfer fees.  Now I know where these guys make the money.  First I was being charged $25.99 for the reconnect fee.  Then I was asked how many TV's I had.  After I told them 2, I was then hit with a $13.99 charge to activate the second jack in the apartment.  Let's sum this up: $25.99 - Reconnect Fee; $13.99 - Additional TV Fee; $18.00 - Monthly Bill. To get setup this month with their service, it's going to cost me close to $58.  Every other company I worked with to transfer my services offered it free of charge.  I don't know how Comcast can actually get away with this, but I don't plan on being with them much longer."
"Mindy of Orem, UT",3/12/2008,,"My phone is not working, and I checked everything: the cords are all plugged in and the light is on."
"Caroline of Plantation, FL",3/12/2008,,"There is simply not enough time and space to explain the difficulties we have had with Comcast's cable television service.  At times, the screen and various channels are blacked out, with a nice little message stating your channel will be available shortly.  Apparently the space time continuum is off in their neighborhood, as the channels often take days to come back on.  When the channels do work, they are pixilated, and the sound is often out of sync with the pictures. I am down to about 5 usable channels that I do not truly care to watch.  Does Fox own Comcast, because Fox news apparently never has any problems!  Customer service repeatedly tells me the problem is on my end and refuses to refund me the difference for my time and effort."
"Russell of Indpls, IN",3/18/2008,,"How can they take channels off the sports pack but continue to charge you the same?  Namely the NFL network. I pay $120 to watch TV and they just do what they want.  And there is no choice of other companies.  Hello monopoly!The consequence is they still get the same money for a lessor service, not the one you signed a contract for!"
"Joseph of Newfield, NJ",3/19/2008,,"I was a Comcast customer.  Their service was a constant problem which they were called on time and time again.    They said the problem is over here, it's over there, on and on and never any resolve.  Finally they said I'd get a credit for 12 months.That never happened and now they are trying to collect for a service they couldn't supply."
"Gina of Knoxville, TN",3/27/2008,,"My internet service went out so we called Comcast. They were not able to get it back up from their office and sent a service tech.  He found the modem was bad and replaced it.  I just got my monthly bill and found I was charged a $32.99 service call fee. I was not told before the tech was sent out that there would be a charge if the modem was replaced nor did the tech tell me. I was told this is standard and they charge a fee if the modem is replaced.  To avoid paying the service call fee you either have to take the modem to Comcast or pay a monthly $3.00 protection plan fee.   Yes, that's right, pay Comcast $3.00 per month to avoid a service charge if the equipment you are renting from Comcast goes bad."
"Susan of Lansdale, PA",3/29/2008,,"1) When I switched from basic cable to digital with HD service, they had a lot of trouble figuring out how to set it up with TiVo, even though I called them several times before-hand to make sure they could handle it (which they said they absolutely could). They had to come out twice to finish the job. And even after that, I had to call them to configure the system correctly.  2) Each month, they charge me for an additional outlet, even though I am only watching on one television, because I have a dual-tuner TiVo. They did not tell me that was going to apply ahead of time and I really don't think it's fair.   3) My high-speed internet connection with them is slower than my former DSL connection. I sat for over three minutes just waiting for this page to load! I don't understand how it can be marketed as high-speed. "
"Sarah of Dearborn, MI",4/1/2008,,"I signed up for Comcast service through www.comcastoffers.com in July 2007.  I was promised three rebates for the following amounts:  $100, $30, & $50.  I mailed in the rebates (correctly filled out, I have copies) before Sept 1st.  I changed addresses after that, and provided the website my updated address on October 25th.  The company's records indicated that all three rebates were sent to my old address and marked as paid in their system.  However, I only received the $100 & $30 rebates.  The company stated they would reissue the $50 rebate on 12/10 in 6-8 weeks.  I still have not received the rebate.  I just submitted another help ticket to their website, and will be sending them a certified demand letter.   I have not been paid $50, and I will have to pay the cost for sending a certified letter."
"Uday of Plainsboro, NJ",4/2/2008,,"I am a new customer and took cable TV services from Comcast in mid Jan 2008. Meanwhile I took Internet services through Comcast offers ($19.95/month) in the month of Feb 2008.   Problems: 1. I am still being charged for $42.95/month for internet. I was asked to submit the mail-in-rebate forms for the $19.95/m offer to start. In-spite of sending the mail-in-rebate to Comcast, I am being charged $42.95.   2. During the month of March, Comcast was upgrading the cables in my area and I was without internet service for 3 weeks in a row after the upgrade was completed. In-spite of regular follow-ups, no one was able to fix the problem. Only after escalating the issue, the issue was addressed. During these 3 weeks I have lost lot of time, peace of mind and money.  3. I was told that I'll not be charged for the duration I did not have the services, but I have the bill in my hand now and I do not see any discounts.  4. Whenever I call 1-800-comcast either the call is disconnected or they try to misguide me. had to disturb my friends during night because I had to send some emails. I use Vonage and I was without phone for 3 weeks. It was a huge risk as I did not have anyway to reach my pregnant wife at home. I had to travel every day to my office (in New York) even though I wanted to work from home when my wife was not feeling well. Every day follow-up with Comcast was painful and mental torture."
"Douglass of Richmond, VA",4/8/2008,,"I joined Comcast because they said they supported Tivo, so I bought a Tivo HD; when Comcast came to install their cards the cards would not work. Now Comcast is telling me they never supported Tivo. My response to them was if that's true why were their techs. at my house trying to install the cards. They won't let me speak to anyone in authority nor will a supervisor return my calls. Yet they are screaming about my unpaid bill."
"A. of Wheat Ridge, CO",4/9/2008,,"This relates to attempting to disconnect service when I moved out of state.    In Early February, I called to cancel my internet account effective FEBRUARY 22, 2008.   Then I got a bill and called, because I had called to cancel, but was being charged.  I moved out of the house on February 22, 2008.  I expained this to the person with whom I spoke.  She told me don't worry.   She said they had recorded the disconnect with the February 22 effective date, but had not yet sent someone to the physical address yet to disconnect the service.  However, my Incorrect billing would be fixed as soon as THEIR TECHNICIANS went to do thier job!  I thought the issue had been resolved.  Appearently not.  Because  TODAY I got a NASTY & AGGRESSIVE voice mail message demanding I call to arrange to disconnect my service as new owners wanted to set-up their internet.  I HAD CANCELLED ALREADY!!  I called a SECOND TIME was told A SECOND TIME it would be addressed.  Instead I got hostility and still am being charged for services cancelled in a home I no longer own!  My decision now is not to use Comcast for either cable or internet here in Seattle.  Hopefully they won't screw with my credit.  However, as I have a bill with a past due (again for services twice cancelled in a home I no longer own) I don't put anything past them! I expect I will bet a hit on my credit report for not paying for service in a home I don't own.  Mostly, the consequence to date is frustration and hours of stress."
"Mary of West Lafayette, IN",4/11/2008,,I am a teacher and need access for parent/teacher communication as well as using an online substitute teacher program.  My husband is a police officer and information is often sent to him via our email.  Not only is this a problem regarging our jobs but I should not have to pay for a service that is not being provided.
"George of Sunrise, FL",4/14/2008,,"This all started when we had a problem with Comcast, we were on a promotional agreement with Comcast and they broke it. They sent us our monthly bill and from the previous month the charges had increased over 100% without any notice. These charges are unreasonable fees and again without notice that the charges were being made. We did not agree to any said charges. They broke the contract without any notice & when we refused to be taken advantage of they threatened me with a made up charge for discountinued the service which again is very unreasonable. These practices are unprofessional to say the least and we would like to join the class action suit against them, as far as Direct TV, almost the same situation. We contacted them on November 30th 2007 to take a promotional offer they had sent to us in the mail for $34.99 for a period of 9 months with bonuses. We get our first bill and to our surprise we were charged full price for everything with no promotional prices.The $34.99 turned into over $90.00 This has been a real nightmare for the last 5 months. Every month has been something different and every person at both companies that I have spoken with tells me something different. This is really a bad problem and from what we have been told and heard we are not the only people dealing with this problem. Again, I wish to join the class action suit against these companies and try to stop these companies from doing this to other people. I have already received a notice for not paying from both of these companies which isn't right since I didn't agree to any of these charges. I need assistance with this matter ASAP from someone there.These 2 companies are threatened to tarnish my credit which is in the high 700's and I have been an upstanding citizen in my community for over the last 20 years. I'm a retired fire fighter and have served the people so I feel I need assistance here with this problem before it goes any futher. I just want these companies stoped from the bad business practices and before they can do more damage than they have already done."
"Maryann of Doylestown, PA",4/14/2008,,I have comcast for both computer and cable - there have been an continue to be problems with my hi-speed internet and now also with my TV - the picture jumps and ends up with a black screen and line going through the middle of it then it jumps and the picture comes on then it jumps and the picture goes off I've have a nast rude service person here and brought another computer into my house and hooked it up to my cable and that TV played - I would agree that it is my TV - but I know of several other people with a few blocks from my apt. that are having the same problem - is there no recorse for this - of just switch fot Verizon - Comcast really doesn't seem to care one way or the other - confused and very unhappy - 
"Beverly of Chicago, IL",4/15/2008,,"On February 9, 2008, I talked to a representative. He tried to walked me through the connection process. It was not completed because I had the Wi-Fi connection. The agent I spoke with knew that I was not connected and so nothing was done since then.  But, I did receive a bill for services I never used.  I am very upset by Comcast reaction and most of all why are you charging me?  Your record show that my services was never connect so why am I being billed.  Businesses should not charged people for services that was never received. I don't understand. Please review my account. Your people need to understand also that people do not want or need to pay for services they do not receive. "
